id_deputado,nome,partido,uf,uri
220593,Abilio Brunini,PL,MT,https://dadosabertos.camara.leg.br/api/v2/deputados/220593
204379,Acácio Favacho,MDB,AP,https://dadosabertos.camara.leg.br/api/v2/deputados/204379
220714,Adail Filho,REPUBLICANOS,AM,https://dadosabertos.camara.leg.br/api/v2/deputados/220714
221328,Adilson Barroso,PL,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/221328
204560,Adolfo Viana,PSDB,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/204560
204528,Adriana Ventura,NOVO,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/204528
121948,Adriano do Baldy,PP,GO,https://dadosabertos.camara.leg.br/api/v2/deputados/121948
74646,Aécio Neves,PSDB,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/74646
160508,Afonso Florence,PT,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/160508
136811,Afonso Hamm,PP,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/136811
178835,Afonso Motta,PDT,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/178835
160527,Aguinaldo Ribeiro,PP,PB,https://dadosabertos.camara.leg.br/api/v2/deputados/160527
204495,Airton Faleiro,PT,PA,https://dadosabertos.camara.leg.br/api/v2/deputados/204495
204549,AJ Albuquerque,PP,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/204549
73579,Alberto Fraga,PL,DF,https://dadosabertos.camara.leg.br/api/v2/deputados/73579
74696,Alberto Mourão,MDB,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/74696
220538,Albuquerque,REPUBLICANOS,RR,https://dadosabertos.camara.leg.br/api/v2/deputados/220538
160559,Alceu Moreira,MDB,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/160559
204501,Alencar Santana,PT,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/204501
178972,Alex Manente,CIDADANIA,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/178972
204571,Alex Santana,REPUBLICANOS,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/204571
220542,Alexandre Guimarães,REPUBLICANOS,TO,https://dadosabertos.camara.leg.br/api/v2/deputados/220542
160545,Alexandre Leite,UNIÃO,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/160545
220554,Alexandre Lindenmeyer,PT,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/220554
204503,Alexandre Padilha,PT,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/204503
221148,Alfredinho,PT,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/221148
220576,Alfredo Gaspar,UNIÃO,AL,https://dadosabertos.camara.leg.br/api/v2/deputados/220576
74057,Alice Portugal,PCdoB,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/74057
178927,Aliel Machado,PV,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/178927
204353,Aline Gurgel,REPUBLICANOS,AP,https://dadosabertos.camara.leg.br/api/v2/deputados/204353
226708,Allan Garcês,PP,MA,https://dadosabertos.camara.leg.br/api/v2/deputados/226708
178937,Altineu Côrtes,PL,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/178937
178881,Aluisio Mendes,PSC,MA,https://dadosabertos.camara.leg.br/api/v2/deputados/178881
220596,Amália Barros,PL,MT,https://dadosabertos.camara.leg.br/api/v2/deputados/220596
220707,Amanda Gentil,PP,MA,https://dadosabertos.camara.leg.br/api/v2/deputados/220707
204356,Amaro Neto,REPUBLICANOS,ES,https://dadosabertos.camara.leg.br/api/v2/deputados/204356
220715,Amom Mandel,CIDADANIA,AM,https://dadosabertos.camara.leg.br/api/v2/deputados/220715
107970,Ana Paula Leão,PP,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/107970
220556,Ana Paula Lima,PT,SC,https://dadosabertos.camara.leg.br/api/v2/deputados/220556
220632,Ana Pimentel,PT,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/220632
178831,ANDRÉ ABDON,PP,AP,https://dadosabertos.camara.leg.br/api/v2/deputados/178831
220657,André Fernandes,PL,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/220657
204423,André Ferreira,PL,PE,https://dadosabertos.camara.leg.br/api/v2/deputados/204423
133439,André Figueiredo,PDT,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/133439
178882,André Fufuca,PP,MA,https://dadosabertos.camara.leg.br/api/v2/deputados/178882
204515,André Janones,AVANTE,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/204515
220676,Andreia Siqueira,MDB,PA,https://dadosabertos.camara.leg.br/api/v2/deputados/220676
123756,Antônia Lúcia,REPUBLICANOS,AC,https://dadosabertos.camara.leg.br/api/v2/deputados/123756
220544,Antonio Andrade,REPUBLICANOS,TO,https://dadosabertos.camara.leg.br/api/v2/deputados/220544
160553,Antonio Brito,PSD,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/160553
220638,Antonio Carlos Rodrigues,PL,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/220638
220675,Antônio Doido,MDB,PA,https://dadosabertos.camara.leg.br/api/v2/deputados/220675
220549,Any Ortiz,CIDADANIA,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/220549
73433,Arlindo Chinaglia,PT,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/73433
141391,Arnaldo Jardim,CIDADANIA,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/141391
160541,Arthur Lira,PP,AL,https://dadosabertos.camara.leg.br/api/v2/deputados/160541
160600,Arthur Oliveira Maia,UNIÃO,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/160600
74090,Átila Lins,PSD,AM,https://dadosabertos.camara.leg.br/api/v2/deputados/74090
123086,Átila Lira,PP,PI,https://dadosabertos.camara.leg.br/api/v2/deputados/123086
160665,Augusto Coutinho,REPUBLICANOS,PE,https://dadosabertos.camara.leg.br/api/v2/deputados/160665
220577,Augusto Pupio,MDB,AP,https://dadosabertos.camara.leg.br/api/v2/deputados/220577
160512,Aureo Ribeiro,SOLIDARIEDADE,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/160512
69871,Bacelar,PV,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/69871
178975,Baleia Rossi,MDB,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/178975
220605,Bandeira de Mello,PSB,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/220605
220612,Bebeto,PTB,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/220612
73701,Benedita da Silva,PT,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/73701
109429,Benes Leocádio,UNIÃO,RN,https://dadosabertos.camara.leg.br/api/v2/deputados/109429
204358,Beto Pereira,PSDB,MS,https://dadosabertos.camara.leg.br/api/v2/deputados/204358
220698,Beto Preto,PSD,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/220698
220683,Beto Richa,PSDB,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/220683
204374,Bia Kicis,PL,DF,https://dadosabertos.camara.leg.br/api/v2/deputados/204374
204388,Bibo Nunes,PL,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/204388
160538,Bohn Gass,PT,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/160538
74052,Bosco Costa,PL,SE,https://dadosabertos.camara.leg.br/api/v2/deputados/74052
210989,Bruno Farias,AVANTE,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/210989
220635,Bruno Ganem,PODE,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/220635
220574,Cabo Gilberto Silva,PL,PB,https://dadosabertos.camara.leg.br/api/v2/deputados/220574
143942,Caio Vianna,PSD,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/143942
220548,Camila Jara,PT,MS,https://dadosabertos.camara.leg.br/api/v2/deputados/220548
204572,Capitão Alberto Neto,PL,AM,https://dadosabertos.camara.leg.br/api/v2/deputados/204572
220690,Capitão Alden,PL,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/220690
178829,Capitão Augusto,PL,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/178829
229069,Capitão Samuel,PP,SE,https://dadosabertos.camara.leg.br/api/v2/deputados/229069
229106,Carla Ayres,PT,SC,https://dadosabertos.camara.leg.br/api/v2/deputados/229106
213762,Carla Dickson,UNIÃO,RN,https://dadosabertos.camara.leg.br/api/v2/deputados/213762
204507,Carla Zambelli,PL,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/204507
204361,Carlos Chiodini,MDB,SC,https://dadosabertos.camara.leg.br/api/v2/deputados/204361
178962,Carlos Gomes,REPUBLICANOS,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/178962
178993,Carlos Henrique Gaguim,UNIÃO,TO,https://dadosabertos.camara.leg.br/api/v2/deputados/178993
